id,content,rating
17429183,"Giao nhanh, đẹp, hàng ok lắm. Ko bị lỗi. Nói chung MƯỜI ĐIỂM, MƯỜI ĐIỂM",5
16706330,"giá rẻ phải chăng, mua về cho người lớn hay dùng để nghe gọi lướt fb,yb, tiktok thì hết ý, có ốp lưng, và dán sãn miếng dán màn hình nên khỏi phải mua thêm.",5
19493871,"Hàng bền, chất lượng tốt, có đk sau sẽ ủng hộ shop",5
15909587,"Sản phẩm tốt trong tầm giá , với giá hơn 2t2 chỉ phù hợp với nghe gọi lướt web hoặc cài ít ứng dụng nhẹ , đôi khi máy còn  bị đơ có lẽ con chip quá yếu",5
18868690,"Hàng giống mô tả, chính hảng. Cấu hình tốt, tuy nhiên màng hình hiểm thị không đẹp, màu sắc không trung thực. Đóng gói chuyên nghiệp. Giao hàng quá trễ, tối khuya mới giao. Hài lòng về chất lượng, không hài lòng dịch vụ giao hàng.",5
19396175,"Mình mua máy để chạy xe công nghệ, máy này thực sự rất phù hợp. pin trâu chạy xe tới trưa mới phải sạc pin. màn hình sáng bự. Nhất là khoảng định vị không bị loạn như các máy oppo mình đã dùng. cảm ứng khi đi mưa ko nhảy loạn.",5
19372712,"Xài đc thgian. Giờ mới nhận xét. Sp khá ổn nhưng vỏ rất dễ xướt, dù vừa mua về mình đã mua ốp lưng liền. Nhưng vẫn trầy. Máy xài khá ổn chỉ mỗi cái quảng cáo nhiều. Cứ báo cài thêm này thêm kia hơi phiền.",4
17324434,"Về chất lượng sản phẩm : Điện Thoại mượt, thích nhất màn hình 6.71. Hiện tại all đều ổn. 
Về cách phục vụ : chủ shop rất nhiệt tình, hỗ trợ rất ok. Uy tín, rất hài lòng. Cho ngàn sao luôn. Sẽ ủng hộ shop tiếp. Mua may bán đắt shop nha.💖",5
19405741,"Nhận hàng nguyên seal, đầy đủ.
Shipper giao hàng khó chịu với đơn hàng 0đ nên không hài lòng.",4
19175839,"đã nhận đc hàng, shipper nhiệt tình, hơi lâu hơn mong đợi 1 tí nhưng k sao, đóng gói chắc chắn, ghi chú HÀNG CỰC KỲ DỄ VỞ",5
19495687,"sản phẩm đúng chính hãng , vì biết tiki làm việc rất tốt nên luôn tin tưởng",5
19212085,"Đẹp và giá rẻ, chính hãng bản quốc tế, giao nhanh",5
19499885,"Xử lý chậm và thoảng treo máy, chỉ được cái pin lâu",2
19376389,"Tốc độ lướt web mượt, có wifi 5Ghz, tốt nhất trong tầm giá!",5
19214030,oi,5
19243445,"Giao đúng hàng,  camera chụp hình không trung thực, độ phân giải kém",4
19457448,Chất lượng phù hợp với nhu cầu và giá tiền,3
19144795,Giá tốt so với các cửa hàng mà mình đi tìm mua cùng điện thoại,5
19426508,Ok,5
18899112,"sp chính hãng, new đẹp",5
17396066,"Màn hình lớn, Độ phân giải sắc nét, Lpin trâu, dung lượng cao.Camera sắc nét, chi tiết, màu sắc đẹp",5
19313448,Hàng đẹp chất lượng thì oky,4
19366605,"Ok, người lớn xài ổn",5
16723376,"Máy gọn nhẹ, shop cho bản kid không quảng cáo và thêm bao da rất đẹp, đời này cùng cổng sạc C nên rất tiện. Máy đọc rất thích đặc biệt là ngồi bus đi làm. Hai hôm nay không còn dùng điện thoại trước khi ngủ nữa mà là ôm em này. Sẽ cố gắng thay thế thói quen xấu từ lướt điện thoại trước khi ngủ sang đọc sách trước khi ngủ.",5
17526627,"Hàng tốt, đúng mô tả, quà tặng đầy đủ. Đây là lần đầu tiên mình sử dụng kindle trải nghiệm quá tuyệt khi mình có thể vừa nằm trên giường vừa đọc được sách, shop cũng tặng cho một cái bao da nữa, mình trừ 1 sao vì bên ship chậm mất một ngày.",4
19121259,"Rất tuyệt. Có điều nếu dùng cả bao thì hơi to, cầm 1 tay đọc sẽ bị mỏi.
Hình ảnh sắc nét, góc nhìn rộng. Dark mode rất tuyệt.",5
19427008,"Máy nhẹ, cầm nắm chắc tay, đỡ mỏi tay hơn khi cầm sách 

Màn hình đem lại trải nghiệm như đọc sách giấy

Dịch vụ bán hàng tốt, giá cả và ưu đãi cạnh tranh",5
15729127,"Hàng bị móp méo và bị ướt nhẹ khi nhận được. Có thể thông cảm nếu là hàng bình thường, nhưng là hàng điện tử thì sẽ bị ảnh hưởng đến chất lượng sản phẩm. Thời gian giao cũng trễ hơn so với thời hạn cam kết. Khá thất vọng với lần đầu tiên mua ở shop!",2
19288246,"ưng lắm luôn cả nhà ơiiii, hị hị mình rất hài lòng về sản phẩm, đúnv là danbf cho đọc sách, nhìn dễ chịu mà ko hề mỏi mắt, cực okeee",5
18673070,"- Giao hàng nhanh, sản phẩm nguyên seal.
- Minh mua bản 32GB để tỉnh thoảng đọc truyện tranh, màn hình 6,8” chất lượng hiển thị rất tốt.
- Pin rất ổn, chế độ đèn nền đọc ban đêm rất dịu nhẹ.",5
16814623,"Shop đóng gói sản phẩm cẩn thận, có giấy tờ đầy đủ, giao hàng nhanh, máy bản mới nên rất đẹp, rất đáng mua nhé mọi người 😄😄😄",5
